block,timestamp,previousVariableBorrowIndex,variableBorrowIndex,percent_deltaIndex,currentVariableBorrowRate,utilization
24462516,1771162247,1218063211096681067533891935,1218063228487455366886949131,0.000000001189783234896897972742,37521005491913611990843941,0.690414138321355563832071311481
24462517,1771162259,1218063228487455366886949131,1218063245878230637752825867,0.000000001189783290408049203999,37521011235768917349393235,0.690414244693140388697827347642
24462521,1771162307,1218063245878230637752825867,1218063315441344853146177125,0.000000001189783493948937120877,37521011899211631563267153,0.690414259623442716495844706515
24462529,1771162403,1218063315441344853146177125,1218063454567587662115819719,0.000000001189783549460088352134,37521022916906800173288347,0.690414467809229326356046385627
24462530,1771162415,1218063454567587662115819719,1218063471958374237206067713,0.000000001189783845519561516578,37521023065241632501969158,0.690414471219317094075051954860
24462534,1771162463,1218063471958374237206067713,1218063541521523295529830164,0.000000001189783868649207931867,37521024161918886552705176,0.690414494121777022606067930610
24462535,1771162475,1218063541521523295529830164,1218063558912311689152988253,0.000000001189783882526995739681,37521004101481116337061234,0.690414125675556600292281927977
24462537,1771162499,1218063558912311689152988253,1218063593693870625479500363,0.000000001189783253400615187691,37521004572652369780854629,0.690414135706687859261876383243
24462539,1771162523,1218063593693870625479500363,1218063628475430991757002383,0.000000001189783262652473588371,37521028972966254024262643,0.690414586069418412250797700835
24462548,1771162631,1218063628475430991757002383,1218063784992566715335696063,0.000000001189784100459663505835,37521030465712174997865029,0.690414619662607087491323909489
24462550,1771162655,1218063784992566715335696063,1218063819774156546695911319,0.000000001189784086067883656558,37521086577412373642277036,0.690415653520491723327268118737
24462551,1771162667,1218063819774156546695911319,1218063837164977842289900951,0.000000001189785862424723056809,37520415276798987934379166,0.690403301279905234899558763573
24462558,1771162751,1218063837164977842289900951,1218063958898555854009360807,0.000000001189764622800906696322,37520410653505550288376278,0.690403220967723996182030532509
24462566,1771162847,1218063958898555854009360807,1218064098022642764526585923,0.000000001189764486005569615411,37520346213685752315157358,0.690402040623688928455692348507
24462575,1771162955,1218064098022642764526585923,1218064254536990725165675231,0.000000001189762449054714735844,37520236538308763391316767,0.690400028589935099709862242889
24462577,1771162979,1218064254536990725165675231,1218064289317858001862635534,0.000000001189758911760800281134,37520225555484323191007475,0.690399827859013104358609780320
24462579,1771163003,1218064289317858001862635534,1218064324098716090735971342,0.000000001189758560190175678637,37520225887207260951302275,0.690399835324108424039479814383
24462581,1771163027,1218064324098716090735971342,1218064358879575480252797750,0.000000001189758578693892893587,37520181742128447351600886,0.690399024350424883600396697148
24462589,1771163123,1218064358879575480252797750,1218064498002859281580765366,0.000000001189757225609581631677,37519976722257224853987367,0.690395257125821948385180348851
